Date,CountryCode,ConfirmedCases,ConfirmedDeaths,StringencyIndex
01/01/2021,ABW,5509,49,35.19
01/01/2021,AFG,52513,2201,12.04
01/01/2021,AGO,17568,405,65.74
01/01/2021,ALB,58316,1181,56.48
01/01/2021,AND,8117,84,52.78
01/01/2021,ARE,209678,671,49.07
01/01/2021,ARG,1629594,43319,79.17
01/01/2021,AUS,28460,909,70.83
01/01/2021,AUT,362911,6261,82.41
01/01/2021,AZE,219041,2670,84.26
01/01/2021,BDI,822,2,14.81
01/01/2021,BEL,648289,19581,60.19
01/01/2021,BEN,3251,44,35.19
01/01/2021,BFA,6828,85,13.89
01/01/2021,BGD,514500,7576,80.09
01/01/2021,BGR,202540,7604,53.7
01/01/2021,BHR,92913,352,50.93
01/01/2021,BHS,7887,171,68.98
01/01/2021,BIH,112143,4086,42.59
01/01/2021,BLR,196223,1433,42.59
01/01/2021,BLZ,10776,248,72.22
01/01/2021,BMU,604,10,61.11
01/01/2021,BOL,160985,9175,52.78
01/01/2021,BRA,7703971,195541,64.35
01/01/2021,BRB,395,7,50.93
01/01/2021,BRN,157,3,35.19
01/01/2021,BTN,689,0,81.94
01/01/2021,BWA,14805,42,56.48
01/01/2021,CAF,4963,63,16.67
01/01/2021,CAN,591160,15806,70.83
01/01/2021,SLV,46515,1327,47.22
01/01/2021,SMR,2384,59,75.93
01/01/2021,SOM,4714,130,37.96
01/01/2021,SRB,339997,3250,60.19
01/01/2021,SSD,3558,63,46.3
01/01/2021,SUR,6277,123,67.59
01/01/2021,SVK,285079,2250,61.11
01/01/2021,SVN,123950,2728,81.48
01/01/2021,SWE,437379,8727,69.44
01/01/2021,SWZ,9482,216,59.26
01/01/2021,SYC,267,0,31.48
01/01/2021,SYR,11526,717,39.35
01/01/2021,TCD,2141,104,61.11
01/01/2021,TGO,3662,68,66.67
01/01/2021,THA,7163,64,63.89
01/01/2021,TJK,13665,90,42.59
01/01/2021,TLS,44,0,52.78
01/01/2021,TON,0,0,39.81
01/01/2021,TTO,7158,127,68.52
01/01/2021,TUN,140557,4730,71.3
01/01/2021,TUR,2220855,21093,80.09
01/01/2021,TZA,509,21,6.48
01/01/2021,UGA,35511,265,47.22
01/01/2021,UKR,1096855,19437,54.63
01/01/2021,URY,19753,193,70.37
01/01/2021,USA,20329703,353948,71.76
01/01/2021,UZB,77182,614,42.59
01/01/2021,VEN,113884,1030,84.26
01/01/2021,VIR,2036,23,42.59
01/01/2021,MYS,115078,474,67.13
01/01/2021,NAM,24545,208,38.89
01/01/2021,NER,3403,106,31.48
01/01/2021,NGA,88587,1294,58.33
01/01/2021,NIC,6046,165,8.33
01/01/2021,NLD,805164,11529,78.7
01/01/2021,NOR,49803,436,56.02
01/01/2021,NPL,261019,1864,60.19
01/01/2021,NZL,2162,25,22.22
01/01/2021,OMN,128867,1499,42.59
01/01/2021,PAK,484362,10258,64.35
01/01/2021,PAN,249733,4064,76.85
01/01/2021,PER,1015137,93231,61.11
01/01/2021,PHL,475820,9248,55.09
01/01/2021,PNG,780,9,29.63
01/01/2021,POL,1305774,28956,80.56
01/01/2021,PRI,77054,1521,70.37
01/01/2021,PRT,420629,6972,76.85
01/01/2021,PRY,108349,2262,52.78
01/01/2021,PSE,139223,1418,62.5
01/01/2021,QAT,144042,245,56.48
01/01/2021,ROU,636201,15841,76.85
01/01/2021,RUS,3153960,56798,47.69
01/01/2021,RWA,8460,94,61.11
01/01/2021,SAU,362878,6230,56.48
01/01/2021,SDN,25730,1468,28.7
01/01/2021,SEN,19364,410,43.52
01/01/2021,SGP,58629,29,45.37
01/01/2021,SLB,17,0,33.33
01/01/2021,SLE,2635,76,37.04
01/01/2021,GAB,9571,64,65.74
01/01/2021,GBR,2542065,74125,79.63
01/01/2021,GEO,228410,2528,84.26
01/01/2021,GHA,54930,335,38.89
01/01/2021,GIN,13738,81,40.74
01/01/2021,GMB,3800,124,45.37
01/01/2021,GRC,139447,4881,84.26
01/01/2021,GRL,27,0,37.04
01/01/2021,GTM,138236,4820,52.31
01/01/2021,GUM,7326,122,62.96
01/01/2021,GUY,6348,164,54.63
01/01/2021,HKG,8888,148,71.3
01/01/2021,HND,122974,3160,84.26
01/01/2021,HRV,212007,3961,67.59
01/01/2021,HTI,10015,236,28.7
01/01/2021,HUN,325278,9667,72.22
01/01/2021,IDN,751270,22329,68.06
01/01/2021,IND,10305788,149218,68.98
01/01/2021,IRL,93532,2248,87.96
01/01/2021,IRN,1231429,55337,72.69
01/01/2021,IRQ,596193,12824,53.7
01/01/2021,ISL,5754,29,52.78
01/01/2021,ISR,428510,3356,82.41
01/01/2021,ITA,2129376,74621,82.41
01/01/2021,JAM,12915,303,71.3
01/01/2021,JOR,295765,3851,81.48
01/01/2021,JPN,239005,3541,48.15
01/01/2021,KAZ,202060,2749,68.52
01/01/2021,KEN,96614,1681,57.41
01/01/2021,CHE,452296,7948,60.19
01/01/2021,CHL,612564,16660,79.17
01/01/2021,CHN,87089,4634,78.24
01/01/2021,CIV,22563,138,15.74
01/01/2021,CMR,26848,448,20.37
01/01/2021,COD,17849,591,26.85
01/01/2021,COG,7107,108,43.52
01/01/2021,COL,1654880,43495,60.19
01/01/2021,CPV,11872,113,64.81
01/01/2021,CRI,169321,2185,63.89
01/01/2021,CUB,12056,146,62.04
01/01/2021,CYP,23108,126,74.07
01/01/2021,CZE,732022,11711,73.15
01/01/2021,DEU,1762504,34150,82.41
01/01/2021,DJI,5840,61,43.52
01/01/2021,DMA,88,0,25.93
01/01/2021,DNK,165930,1322,51.85
01/01/2021,DOM,172218,2416,70.37
01/01/2021,DZA,99897,2762,72.22
01/01/2021,ECU,213378,14051,73.15
01/01/2021,EGY,139471,7687,65.74
01/01/2021,ERI,1320,3,89.81
01/01/2021,ESP,1928265,50837,78.7
01/01/2021,EST,28406,234,55.56
01/01/2021,ETH,124652,1937,51.85
01/01/2021,FIN,36403,561,52.31
01/01/2021,FJI,49,2,49.07
01/01/2021,FRA,2636045,64399,63.89
01/01/2021,FRO,610,0,35.19
01/01/2021,VNM,1474,35,55.09
01/01/2021,VUT,1,0,22.22
01/01/2021,YEM,2101,610,27.78
01/01/2021,ZAF,1073887,28887,50.93
01/01/2021,ZMB,20997,390,49.07
01/01/2021,ZWE,14084,369,69.44
01/01/2021,TWN,802,7,19.44
01/01/2021,RKS,51502,1336,71.3
01/01/2021,KGZ,81156,1356,40.74
01/01/2021,KHM,379,0,54.63
01/01/2021,KIR,0,0,22.22
01/01/2021,KOR,62593,942,66.2
01/01/2021,KWT,150869,936,71.3
01/01/2021,LAO,41,0,29.63
01/01/2021,LBN,183888,1479,87.04
01/01/2021,LBR,1800,83,35.19
01/01/2021,LBY,100744,1487,84.26
01/01/2021,LIE,2245,44,56.48
01/01/2021,LKA,43856,208,78.24
01/01/2021,LSO,3206,51,36.11
01/01/2021,LTU,145430,1837,74.07
01/01/2021,LUX,46415,495,67.59
01/01/2021,LVA,41615,644,63.89
01/01/2021,MAC,46,0,23.15
01/01/2021,MAR,440970,7425,76.85
01/01/2021,MCO,885,3,51.85
01/01/2021,MDA,145258,3004,57.41
01/01/2021,MDG,17714,261,37.04
01/01/2021,MEX,1437185,126507,71.76
01/01/2021,MLI,7203,271,51.85
01/01/2021,MLT,12909,219,52.78
01/01/2021,MMR,125042,2697,75.93
01/01/2021,MNG,1242,1,75.46
01/01/2021,MOZ,18794,167,50
01/01/2021,MRT,14581,349,59.26
01/01/2021,MUS,527,10,16.67
01/01/2021,MWI,6684,191,50.93
02/01/2021,CAN,598091,15914,70.83
02/01/2021,CAF,4963,63,16.67
02/01/2021,BWA,14805,42,56.48
02/01/2021,BTN,710,0,81.94
02/01/2021,BRN,157,3,35.19
02/01/2021,BRB,395,7,59.26
02/01/2021,BRA,7719324,195834,64.35
02/01/2021,BOL,162055,9186,52.78
02/01/2021,BMU,622,10,61.11
02/01/2021,BLZ,10807,249,72.22
02/01/2021,BLR,198125,1442,42.59
02/01/2021,BIH,112143,4086,42.59
02/01/2021,BHS,7887,171,68.98
02/01/2021,BHR,93184,352,50.93
02/01/2021,BGR,202880,7644,53.7
02/01/2021,BGD,515184,7599,80.09
02/01/2021,BFA,6940,86,13.89
02/01/2021,BEN,3251,44,35.19
02/01/2021,BEL,649169,19644,60.19
02/01/2021,BDI,822,2,14.81
02/01/2021,AZE,219462,2703,89.81
02/01/2021,AUT,364302,6275,82.41
02/01/2021,AUS,28484,909,70.83
02/01/2021,ARG,1634834,43375,79.17
02/01/2021,ARE,211641,674,49.07
02/01/2021,AND,8166,84,52.78
02/01/2021,ALB,58991,1190,56.48
02/01/2021,AGO,17608,407,65.74
02/01/2021,AFG,52586,2211,12.04
02/01/2021,ABW,5532,49,35.19
02/01/2021,VIR,2041,23,42.59
02/01/2021,VEN,114083,1032,84.26
02/01/2021,UZB,77182,614,42.59
02/01/2021,USA,20625567,356547,71.76
02/01/2021,URY,20275,201,70.37
02/01/2021,UKR,1102256,19498,54.63
02/01/2021,UGA,35712,274,47.22
02/01/2021,TZA,509,21,6.48
02/01/2021,TUR,2232035,21295,80.09
02/01/2021,TUN,141979,4765,71.3
02/01/2021,TTO,7162,127,68.52
02/01/2021,TON,0,0,47.22
02/01/2021,TLS,44,0,52.78
02/01/2021,TJK,13671,91,42.59
02/01/2021,THA,7379,64,63.89
02/01/2021,TGO,3683,68,66.67
02/01/2021,TCD,2169,104,61.11
02/01/2021,SYR,11616,723,39.35
02/01/2021,SYC,267,0,31.48
02/01/2021,SWZ,9711,227,59.26
02/01/2021,SWE,437379,8727,69.44
02/01/2021,SVN,124343,2774,81.48
02/01/2021,SVK,287405,2250,61.11
02/01/2021,SUR,6343,123,67.59
02/01/2021,SSD,3558,63,46.3
02/01/2021,SRB,341904,3288,60.19
02/01/2021,SOM,4714,130,37.96
02/01/2021,SMR,2428,59,75.93
02/01/2021,SLV,46803,1327,47.22
02/01/2021,SLE,2646,76,37.04
02/01/2021,SLB,17,0,33.33
02/01/2021,SGP,58662,29,45.37
02/01/2021,SEN,19511,416,43.52
02/01/2021,SDN,25882,1468,28.7
02/01/2021,SAU,362979,6239,56.48
02/01/2021,RWA,8567,98,61.11
02/01/2021,RUS,3179898,57235,47.69
02/01/2021,ROU,637395,15919,76.85
02/01/2021,QAT,144240,245,56.48
02/01/2021,PSE,140287,1446,62.5
02/01/2021,PRY,108718,2279,52.78
02/01/2021,PRT,423870,7045,76.85
02/01/2021,PRI,77932,1526,70.37
02/01/2021,POL,1312780,29058,75
02/01/2021,PNG,780,9,29.63
02/01/2021,PHL,476916,9253,55.09
02/01/2021,PER,1015137,93377,61.11
02/01/2021,PAN,251764,4103,76.85
02/01/2021,PAK,486634,10311,64.35
02/01/2021,OMN,128867,1499,42.59
02/01/2021,NZL,2181,25,22.22
02/01/2021,NPL,261438,1870,60.19
02/01/2021,NOR,50266,436,56.02
02/01/2021,NLD,813765,11565,78.7
02/01/2021,NIC,6046,165,8.33
02/01/2021,NGA,89163,1302,58.33
02/01/2021,NER,3437,110,31.48
02/01/2021,NAM,24654,213,38.89
02/01/2021,MYS,117373,483,67.13
02/01/2021,KEN,96678,1685,57.41
02/01/2021,KAZ,202880,2749,68.52
02/01/2021,JPN,242076,3572,48.15
02/01/2021,JOR,296668,3877,81.48
02/01/2021,JAM,12931,303,71.3
02/01/2021,ITA,2141201,74985,82.41
02/01/2021,ISR,434799,3392,82.41
02/01/2021,ISL,5754,29,52.78
02/01/2021,IRQ,597033,12829,53.7
02/01/2021,IRN,1237474,55438,72.69
02/01/2021,IRL,96926,2252,87.96
02/01/2021,IND,10323965,149435,68.98
02/01/2021,IDN,758473,22555,68.06
